Client_ID,Last_Purchase_Date,Frequency,Monetary_Spendings,Behavior_Score,Churn,Recency
Client_1,2025-07-27 17:26:37.168127,9,165.75,0.12,1,113
Client_2,2025-01-08 17:26:37.168127,45,303.63,0.59,0,313
Client_3,2025-02-06 17:26:37.168127,2,341.58,0.43,1,284
Client_4,2025-10-02 17:26:37.168127,11,152.98,0.54,0,46
Client_5,2024-11-26 17:26:37.168127,33,125.5,0.09,0,356
Client_6,2025-07-31 17:26:37.168127,19,373.2,0.02,0,109
Client_7,2025-11-09 17:26:37.168127,4,453.27,0.08,1,8
Client_8,2025-03-20 17:26:37.168127,3,186.09,0.42,1,242
Client_9,2025-05-17 17:26:37.168127,29,264.29,0.38,0,184
Client_10,2025-03-05 17:26:37.168127,49,410.88,0.98,0,257
Client_11,2025-01-18 17:26:37.168127,46,405.26,0.61,0,303
Client_12,2025-06-29 17:26:37.168127,24,287.79,0.46,1,141
Client_13,2025-04-06 17:26:37.168127,47,268.11,0.81,1,225
Client_14,2025-03-21 17:26:37.168127,16,477.49,0.31,0,241
Client_15,2025-09-08 17:26:37.168127,42,410.77,0.04,0,70
Client_16,2025-04-07 17:26:37.168127,18,68.06,0.3,0,224
Client_17,2025-05-20 17:26:37.168127,43,27.39,0.47,0,181
Client_18,2025-03-28 17:26:37.168127,34,259.25,0.61,1,234
Client_19,2025-05-26 17:26:37.168127,46,469.73,0.87,0,175
Client_20,2025-10-08 17:26:37.168127,44,296.23,0.98,0,40
Client_21,2024-12-17 17:26:37.168127,32,236.9,0.73,1,335
Client_22,2025-10-14 17:26:37.168127,13,91.21,0.85,0,34
Client_23,2025-10-14 17:26:37.168127,20,467.66,0.22,0,34
Client_24,2025-03-31 17:26:37.168127,8,493.92,0.59,0,231
Client_25,2024-12-04 17:26:37.168127,24,80.33,0.28,1,348
Client_26,2025-05-22 17:26:37.168127,9,225.76,0.85,1,179
Client_27,2025-03-08 17:26:37.168127,44,211.69,0.85,1,254
Client_28,2025-02-21 17:26:37.168127,25,30.16,0.17,0,269
Client_29,2025-05-05 17:26:37.168127,23,488.67,0.74,0,196
Client_30,2025-08-15 17:26:37.168127,5,214.63,0.09,1,94
Client_31,2025-02-24 17:26:37.168127,28,91.63,0.07,0,266
Client_32,2025-06-05 17:26:37.168127,7,425.77,0.84,0,165
Client_33,2025-03-23 17:26:37.168127,47,312.9,0.61,0,239
Client_34,2025-04-19 17:26:37.168127,46,371.62,1.0,0,212
Client_35,2025-10-11 17:26:37.168127,30,386.98,0.67,0,37
Client_36,2025-10-14 17:26:37.168127,32,268.37,0.28,0,34
Client_37,2025-10-01 17:26:37.168127,17,152.37,0.64,0,47
Client_38,2025-10-26 17:26:37.168127,39,67.44,0.37,0,22
Client_39,2024-12-01 17:26:37.168127,41,48.67,0.98,1,351
Client_40,2024-12-16 17:26:37.168127,37,326.72,0.34,1,336
Client_41,2025-10-15 17:26:37.168127,3,485.92,0.66,0,33
Client_42,2025-11-07 17:26:37.168127,33,369.54,0.88,0,10
Client_43,2025-03-21 17:26:37.168127,43,299.93,0.43,0,241
Client_44,2025-08-30 17:26:37.168127,29,232.43,0.03,0,79
Client_45,2024-12-02 17:26:37.168127,6,482.46,0.7,0,350
Client_46,2024-12-05 17:26:37.168127,6,49.16,0.07,0,347
Client_47,2025-07-05 17:26:37.168127,34,153.93,0.01,0,135
Client_48,2024-11-23 17:26:37.168127,23,60.54,0.76,0,359
Client_49,2025-01-19 17:26:37.168127,47,55.66,0.24,0,302
Client_50,2025-07-08 17:26:37.168127,12,40.05,0.13,0,132
Client_51,2025-06-12 17:26:37.168127,8,73.31,0.43,0,158
Client_52,2025-02-06 17:26:37.168127,45,431.67,0.29,0,284
Client_53,2025-02-05 17:26:37.168127,5,149.9,0.38,0,285
Client_54,2025-01-01 17:26:37.168127,23,240.2,0.56,0,320
Client_55,2025-03-11 17:26:37.168127,7,468.41,1.0,0,251
Client_56,2025-06-22 17:26:37.168127,22,78.17,0.66,0,148
Client_57,2025-03-30 17:26:37.168127,41,315.35,0.89,0,232
Client_58,2025-07-16 17:26:37.168127,10,465.38,0.78,1,124
Client_59,2025-06-22 17:26:37.168127,38,186.91,0.37,0,148
Client_60,2024-12-09 17:26:37.168127,9,264.38,0.52,0,343
Client_61,2025-04-02 17:26:37.168127,16,92.31,0.63,1,229
Client_62,2025-03-11 17:26:37.168127,13,448.01,0.59,1,251
Client_63,2025-05-26 17:26:37.168127,10,138.47,0.45,0,175
Client_64,2025-04-26 17:26:37.168127,17,300.57,0.08,0,205
Client_65,2025-10-06 17:26:37.168127,24,114.35,0.36,0,42
Client_66,2025-09-14 17:26:37.168127,41,124.29,0.27,1,64
Client_67,2025-05-07 17:26:37.168127,39,106.93,0.07,1,194
Client_68,2025-08-04 17:26:37.168127,36,51.44,0.22,0,105
Client_69,2025-01-17 17:26:37.168127,30,175.16,0.86,0,304
